id|premissa|conclusao|suporte|confiança
44|work_rate_att_Medium, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.37|0.840909090909091
45|work_rate_att_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.37|0.840909090909091
46|body_type_Normal|work_rate_def_Medium|0.38|0.844444444444444
47|jumping_(60.5, 66.4]|international_reputation_(0.996, 1.4]|0.33|0.846153846153846
48|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], body_type_Normal|work_rate_def_Medium|0.33|0.846153846153846
49|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.33|0.846153846153846
50|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.39|0.847826086956522
51|international_reputation_(0.996, 1.4], body_type_Normal|work_rate_def_Medium|0.34|0.85
52|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.34|0.85
53|work_rate_def_Medium, preferred_foot_Right, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.34|0.85
54|preferred_foot_Right, work_rate_att_Medium|work_rate_def_Medium|0.4|0.851063829787234
55|skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.4|0.851063829787234
56|eur_value_(-62940.0, 12354000.0], weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.46|0.851851851851852
57|work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.58|0.852941176470588
58|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.64|0.853333333333333
59|work_rate_def_Medium, body_type_Lean|international_reputation_(0.996, 1.4]|0.35|0.853658536585366
60|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, work_rate_att_Medium|work_rate_def_Medium|0.35|0.853658536585366
61|eur_value_(-62940.0, 12354000.0]|work_rate_def_Medium|0.76|0.853932584269663
62|work_rate_def_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.71|0.855421686746988
63|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2]|work_rate_def_Medium|0.6|0.857142857142857
64|eur_value_(-62940.0, 12354000.0], preferred_foot_Right|work_rate_def_Medium|0.54|0.857142857142857
65|body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.43|0.86
66|eur_value_(-62940.0, 12354000.0], body_type_Lean|work_rate_def_Medium|0.37|0.86046511627907
67|eur_value_(-62940.0, 12354000.0], body_type_Lean|international_reputation_(0.996, 1.4]|0.37|0.86046511627907
68|work_rate_def_Medium, jumping_(60.5, 66.4]|international_reputation_(0.996, 1.4]|0.31|0.861111111111111
69|skill_moves_(2.9, 3.2], body_type_Lean|work_rate_def_Medium|0.31|0.861111111111111
70|work_rate_def_Medium, preferred_foot_Right, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.31|0.861111111111111
71|international_reputation_(0.996, 1.4], preferred_foot_Right|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.5|0.862068965517241
72|international_reputation_(0.996, 1.4], work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.5|0.862068965517241
